,fit,vac,mse,rmse,mae,depth,ests,group
4676,RF,0.9665034322925437,0.004772324321121129,0.06908201155960304,0.045176696696696786,10,50,control
4677,RF,0.9482949156998296,0.006828321817094026,0.08263366031523732,0.061697564102564155,10,50,control
4678,RF,0.9486026857377184,0.004925579704504511,0.07018247434014073,0.050309189189189266,10,50,control
4679,RF,0.8880062265493159,0.021397398918918915,0.146278497801006,0.10902702702702707,10,50,control
4680,RF,0.9549361405798289,0.005265498193311675,0.07256375261321368,0.05423389103389107,10,50,control
4681,RF,0.9626937024295104,0.004488421458258255,0.06699568238519744,0.0462548948948949,10,50,control
4682,RF,0.9498135453793338,0.006055422422422428,0.07781659477529473,0.05505285285285288,10,50,control
4683,RF,0.9753169527021895,0.003479737517517516,0.05898930002566157,0.03939579579579579,10,50,control
4684,RF,0.9409415946190621,0.008377321441441439,0.09152770859931673,0.06285585585585594,10,50,control
4685,RF,0.9804897146586199,0.0028724926126126194,0.05359563986568888,0.024942342342342688,10,50,control
4686,RF,0.9889847353967798,0.002037869189189189,0.045142764527542935,0.019219819819820096,10,50,control
4687,RF,0.977719542283924,0.002169728513513516,0.04658034471226588,0.03366306306306314,10,50,control
4688,RF,0.947576749571929,0.006020819459459471,0.07759393957945086,0.047718918918919176,10,50,control
4689,RF,0.9370890938522743,0.007323602522522525,0.08557804930309247,0.0612630630630631,10,50,control
4690,RF,0.9620337681140141,0.006763937657657662,0.08224316176836627,0.04882702702702732,10,50,control
4691,RF,0.9655894168670334,0.004724036001001011,0.0687316230057243,0.04611981981981998,10,50,control
4692,RF,0.9760428199130072,0.003062664824824831,0.05534134823822809,0.03793273273273287,10,50,control
4693,RF,0.9736602051319363,0.0009637034234234288,0.031043572980947745,0.01891351351351365,10,50,control
4694,RF,0.9620197900381353,0.006894171041441441,0.08303114500861374,0.046094414414414586,10,50,control
4695,RF,0.9997517761917123,3.4040000000000684e-05,0.005834380858325988,0.002744144144144546,10,50,control
4696,RF,0.9552191396467528,0.010152440000000004,0.1007593171870473,0.05856396396396414,10,50,control
4697,RF,0.8740148795297448,0.023015486566566566,0.15170855798723606,0.10686846846846867,10,50,control
4698,RF,0.9354307181629911,0.0057963070270270305,0.07613348164261917,0.03939099099099128,10,50,control
4699,RF,0.9786650409347583,0.0037171413813813863,0.06096836377484134,0.036569369369369525,10,50,control
4700,RF,0.96057306635357,0.0036705220000000016,0.06058483308551738,0.039604285714285786,50,50,cocaine
4701,RF,0.9579769580137367,0.0068191671428571455,0.08257824860613808,0.0537614285714287,50,50,cocaine
4702,RF,0.9379747445568606,0.006141870857142862,0.07837008904641402,0.05205714285714288,50,50,cocaine
4703,RF,0.9477317428841041,0.010761183714285708,0.1037361254061752,0.055984285714285965,50,50,cocaine
4704,RF,0.9740045938577762,0.004178164571428571,0.0646387234668861,0.03167714285714285,50,50,cocaine
4705,RF,0.971537594840278,0.004085595142857141,0.0639186603650072,0.031592857142857235,50,50,cocaine
4706,RF,0.9677411780813053,0.0024162968571428585,0.04915584255348349,0.03452714285714287,50,50,cocaine
4707,RF,0.9496857360720535,0.010604239142857139,0.10297688644961615,0.05906714285714307,50,50,cocaine
4708,RF,0.9473760638805324,0.006754378857142858,0.08218502818118917,0.05984285714285717,50,50,cocaine
4709,RF,0.9427819116581012,0.00608212485714286,0.07798797892715813,0.053375714285714325,50,50,cocaine
4710,RF,0.9860369131041391,0.002503466000000003,0.05003464799516434,0.02661571428571441,50,50,cocaine
